stock_code,issuer_name,listing_date,prospectus_date,board,lifecycle_stage,decision_tier,pre_listing_score,model_recommendation,risk_tags
2476.HK,胜宏科技,2026-04-21,2026-04-22,主板,已上市/半新股,B 重点观察,66.6,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,一手中签率低；基石阵容较多
3277.HK,长光辰芯,2026-04-17,2026-05-08,主板,已上市/半新股,A 高优先,80.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
0068.HK,群核科技,2026-04-17,2026-04-20,主板,已上市/半新股,A 高优先,82.0,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
6656.HK,思格新能,2026-04-16,2026-04-15,主板,已上市/半新股,A 高优先,82.9,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
0664.HK,铜师傅,2026-03-31,2026-04-30,主板,已上市/半新股,D 回避/仅跟踪,45.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
3625.HK,傅里叶,2026-03-31,2026-03-30,主板,已上市/半新股,B 重点观察,72.4,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
1021.HK,华沿机器人,2026-03-30,2026-04-26,主板,已上市/半新股,A 高优先,85.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2726.HK,瀚天天成,2026-03-30,2026-03-27,主板,已上市/半新股,D 回避/仅跟踪,49.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2526.HK,德适-B,2026-03-30,2026-03-27,主板,已上市/半新股,B 重点观察,63.4,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
6636.HK,极视角,2026-03-30,2026-03-27,主板,已上市/半新股,B 重点观察,74.9,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤
2729.HK,凯乐士科技,2026-03-24,2026-04-20,主板,已上市/半新股,B 重点观察,72.6,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2632.HK,泽景股份,2026-03-24,2026-03-23,主板,已上市/半新股,D 回避/仅跟踪,49.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
3355.HK,飞速创新,2026-03-23,2026-04-17,主板,已上市/半新股,A 高优先,79.4,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2701.HK,国民技术,2026-03-23,2026-03-20,主板,已上市/半新股,C 等待触发,53.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
1989.HK,广合科技,2026-03-20,2026-03-19,主板,已上市/半新股,A 高优先,75.6,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
7489.HK,岚图汽车,2026-03-19,2026-02-12,主板,已上市/半新股,D 回避/仅跟踪,45.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
3268.HK,美格智能,2026-03-10,2026-03-09,主板,已上市/半新股,C 等待触发,53.9,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
2715.HK,埃斯顿,2026-03-09,2026-04-07,主板,已上市/半新股,C 等待触发,50.5,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
2692.HK,兆威机电,2026-03-09,2026-03-06,主板,已上市/半新股,A 高优先,78.6,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2649.HK,优乐赛共享,2026-03-09,2026-03-06,主板,已上市/半新股,B 重点观察,72.5,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2706.HK,海致科技集团,2026-02-13,2026-02-12,主板,已上市/半新股,A 高优先,77.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
9981.HK,沃尔核材,2026-02-13,2026-02-12,主板,已上市/半新股,B 重点观察,62.6,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；一手中签率低；基石阵容较多
0470.HK,先导智能,2026-02-11,2026-03-08,主板,已上市/半新股,C 等待触发,58.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
0600.HK,爱芯元智,2026-02-10,2026-03-08,主板,已上市/半新股,C 等待触发,55.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2720.HK,乐欣户外,2026-02-10,2026-02-09,主板,已上市/半新股,B 重点观察,73.2,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
6809.HK,澜起科技,2026-02-09,2026-02-10,主板,已上市/半新股,A 高优先,76.5,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,孖展拥挤；一手中签率低；基石阵容较多
2714.HK,牧原股份,2026-02-06,2026-03-05,主板,已上市/半新股,C 等待触发,58.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2677.HK,卓正医疗,2026-02-06,2026-03-05,主板,已上市/半新股,A 高优先,75.8,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
3200.HK,大族数控,2026-02-06,2026-03-05,主板,已上市/半新股,B 重点观察,70.5,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
2768.HK,国恩科技,2026-02-04,2026-02-03,主板,已上市/半新股,A 高优先,81.6,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
9980.HK,东鹏饮料,2026-02-03,2026-03-01,主板,已上市/半新股,C 等待触发,61.6,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
1768.HK,鸣鸣很忙,2026-01-28,2026-02-10,主板,已上市/半新股,A 高优先,93.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
9611.HK,龙旗科技,2026-01-22,2026-02-23,主板,已上市/半新股,B 重点观察,70.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
3986.HK,兆易创新,2026-01-13,2026-02-08,主板,已上市/半新股,B 重点观察,68.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,一手中签率低；基石阵容较多
1641.HK,红星冷链,2026-01-13,2026-01-12,主板,已上市/半新股,B 重点观察,72.1,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
8610.HK,BBSB INTL,2026-01-13,2026-01-12,创业板,已上市/半新股,B 重点观察,71.9,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
0501.HK,豪威集团,2026-01-12,2026-02-06,主板,已上市/半新股,C 等待触发,56.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
3636.HK,金浔资源,2026-01-09,2026-02-05,主板,已上市/半新股,C 等待触发,58.9,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6938.HK,瑞博生物-B,2026-01-09,2026-02-05,主板,已上市/半新股,C 等待触发,60.2,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
0100.HK,MINIMAX-W,2026-01-09,2026-01-11,主板,已上市/半新股,A 高优先,90.0,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2675.HK,精锋医疗-B,2026-01-08,2026-02-04,主板,已上市/半新股,A 高优先,78.9,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2513.HK,智谱,2026-01-08,2026-02-04,主板,已上市/半新股,A 高优先,78.3,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
9903.HK,天数智芯,2026-01-08,2026-01-07,主板,已上市/半新股,C 等待触发,61.8,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6082.HK,壁仞科技,2026-01-02,2026-01-28,主板,已上市/半新股,A 高优先,90.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
3317.HK,迅策,2025-12-30,2026-01-23,主板,已上市/半新股,C 等待触发,53.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6600.HK,卧安机器人,2025-12-30,2026-01-22,主板,已上市/半新股,C 等待触发,57.7,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6651.HK,五一视界,2025-12-30,2026-01-22,主板,已上市/半新股,D 回避/仅跟踪,49.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2657.HK,林清轩,2025-12-30,2026-01-22,主板,已上市/半新股,A 高优先,79.3,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
3696.HK,英矽智能,2025-12-30,2026-01-16,主板,已上市/半新股,A 高优先,88.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2671.HK,美联股份,2025-12-30,2025-12-29,主板,已上市/半新股,C 等待触发,50.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低
3378.HK,翰思艾泰-B,2025-12-23,2026-01-23,主板,已上市/半新股,A 高优先,78.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2635.HK,诺比侃,2025-12-23,2026-01-19,主板,已上市/半新股,D 回避/仅跟踪,46.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
2661.HK,轻松健康,2025-12-23,2026-01-18,主板,已上市/半新股,B 重点观察,67.9,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤
2396.HK,华芢生物-B,2025-12-22,2026-01-18,主板,已上市/半新股,C 等待触发,59.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；一手中签率低
2691.HK,南华期货股份,2025-12-22,2026-01-16,主板,已上市/半新股,D 回避/仅跟踪,45.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2581.HK,明基医院,2025-12-22,2025-12-19,主板,已上市/半新股,C 等待触发,50.9,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2695.HK,印象大红袍,2025-12-22,2025-12-19,主板,已上市/半新股,B 重点观察,71.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
3881.HK,希迪智驾,2025-12-19,2026-01-16,主板,已上市/半新股,C 等待触发,53.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2546.HK,智汇矿业,2025-12-19,2025-12-18,主板,已上市/半新股,B 重点观察,74.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
3887.HK,HASHKEY HLDGS,2025-12-17,2026-01-12,主板,已上市/半新股,C 等待触发,60.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2655.HK,果下科技,2025-12-16,2026-01-09,主板,已上市/半新股,A 高优先,75.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤
7618.HK,京东工业,2025-12-11,2026-01-07,主板,已上市/半新股,C 等待触发,56.7,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2665.HK,图达通,2025-12-10,2025-12-09,主板,已上市/半新股,D 回避/仅跟踪,45.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2659.HK,宝济药业-B,2025-12-10,2025-12-09,主板,已上市/半新股,A 高优先,76.3,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤
2676.HK,纳芯微,2025-12-08,2026-01-02,主板,已上市/半新股,D 回避/仅跟踪,49.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低；基石阵容较多
2687.HK,卓越睿新,2025-12-08,2025-12-05,主板,已上市/半新股,B 重点观察,71.6,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2408.HK,遇见小面,2025-12-05,2026-01-01,主板,已上市/半新股,C 等待触发,57.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
2658.HK,天域半导体,2025-12-05,2026-01-01,主板,已上市/半新股,D 回避/仅跟踪,47.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2693.HK,金岩高岭新材,2025-12-03,2025-12-28,主板,已上市/半新股,B 重点观察,74.1,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2539.HK,乐摩科技,2025-12-03,2025-12-02,主板,已上市/半新股,B 重点观察,73.3,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
9609.HK,海伟股份,2025-11-28,2025-12-28,主板,已上市/半新股,B 重点观察,73.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2685.HK,量化派,2025-11-27,2025-12-24,主板,已上市/半新股,A 高优先,76.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2788.HK,创新实业,2025-11-24,2025-12-19,主板,已上市/半新股,B 重点观察,69.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
2579.HK,中伟新材,2025-11-17,2025-12-12,主板,已上市/半新股,C 等待触发,54.8,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2698.HK,乐舒适,2025-11-10,2025-12-05,主板,已上市/半新股,A 高优先,89.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
0699.HK,均胜电子,2025-11-06,2025-12-04,主板,已上市/半新股,C 等待触发,58.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
0800.HK,文远知行-W,2025-11-06,2025-12-03,主板,已上市/半新股,D 回避/仅跟踪,49.1,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2630.HK,旺山旺水-B,2025-11-06,2025-12-03,主板,已上市/半新股,A 高优先,77.8,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2026.HK,小马智行-W,2025-11-06,2025-12-03,主板,已上市/半新股,C 等待触发,52.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
9927.HK,赛力斯,2025-11-05,2025-11-30,主板,已上市/半新股,C 等待触发,58.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2718.HK,明略科技-W,2025-11-03,2025-11-27,主板,已上市/半新股,A 高优先,81.3,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
6031.HK,三一重工,2025-10-28,2025-11-23,主板,已上市/半新股,B 重点观察,64.7,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
6166.HK,剑桥科技,2025-10-28,2025-11-10,主板,已上市/半新股,B 重点观察,62.5,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,一手中签率低；基石阵容较多
6980.HK,八马茶业,2025-10-28,2025-10-27,主板,已上市/半新股,A 高优先,76.4,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
1384.HK,滴普科技,2025-10-28,2025-10-27,主板,已上市/半新股,A 高优先,77.1,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
0638.HK,广和通,2025-10-22,2025-11-16,主板,已上市/半新股,B 重点观察,63.4,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,一手中签率低；基石阵容较多
6687.HK,聚水潭,2025-10-21,2025-11-16,主板,已上市/半新股,A 高优先,86.4,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2637.HK,海西新药,2025-10-20,2025-10-17,主板,已上市/半新股,B 重点观察,73.8,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2670.HK,云迹,2025-10-16,2025-11-12,主板,已上市/半新股,A 高优先,78.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2575.HK,轩竹生物-B,2025-10-15,2025-10-14,主板,已上市/半新股,A 高优先,76.3,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2650.HK,挚达科技,2025-10-10,2025-11-05,主板,已上市/半新股,B 重点观察,71.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
8549.HK,金叶国际集团,2025-10-10,2025-10-09,创业板,已上市/半新股,B 重点观察,70.6,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2652.HK,长风药业,2025-10-08,2025-10-06,主板,已上市/半新股,A 高优先,75.7,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2259.HK,紫金黄金国际,2025-09-30,2026-04-08,主板,已上市/半新股,B 重点观察,70.2,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
2889.HK,博泰车联,2025-09-30,2025-10-31,主板,已上市/半新股,C 等待触发,55.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低
2583.HK,西普尼,2025-09-30,2025-09-29,主板,已上市/半新股,B 重点观察,72.2,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
9973.HK,奇瑞汽车,2025-09-25,2025-10-22,主板,已上市/半新股,C 等待触发,60.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
6090.HK,不同集团,2025-09-23,2025-09-22,主板,已上市/半新股,A 高优先,75.7,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2595.HK,劲方医药-B,2025-09-19,2025-10-16,主板,已上市/半新股,A 高优先,91.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2656.HK,健康160,2025-09-17,2025-09-16,主板,已上市/半新股,C 等待触发,57.2,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤
2525.HK,禾赛-W,2025-09-16,2025-09-16,主板,已上市/半新股,C 等待触发,60.2,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2543.HK,大行科工,2025-09-09,2025-10-05,主板,已上市/半新股,A 高优先,82.5,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2580.HK,奥克斯电气,2025-09-02,2025-09-28,主板,已上市/半新股,B 重点观察,63.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
3858.HK,佳鑫国际资源,2025-08-28,2025-08-28,主板,已上市/半新股,A 高优先,87.0,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
6960.HK,双登股份,2025-08-26,2025-09-21,主板,已上市/半新股,A 高优先,78.8,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2631.HK,天岳先进,2025-08-20,2025-09-14,主板,已上市/半新股,A 高优先,81.2,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；基石阵容较多
2591.HK,银诺医药-B,2025-08-15,2025-08-14,主板,已上市/半新股,A 高优先,78.9,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2627.HK,中慧生物-B,2025-08-11,2025-08-08,主板,已上市/半新股,B 重点观察,71.3,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
6887.HK,东阳光药,2025-08-07,2025-08-06,主板,已上市/半新股,D 回避/仅跟踪,45.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
9887.HK,维立志博-B,2025-07-25,2025-08-07,主板,已上市/半新股,A 高优先,89.7,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2590.HK,极智嘉-W,2025-07-09,2025-08-04,主板,已上市/半新股,C 等待触发,60.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低
2597.HK,讯众通信,2025-07-09,2025-08-04,主板,已上市/半新股,D 回避/仅跟踪,46.4,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2651.HK,大众口腔,2025-07-09,2025-08-04,主板,已上市/半新股,D 回避/仅跟踪,46.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
6613.HK,蓝思科技,2025-07-09,2025-08-03,主板,已上市/半新股,B 重点观察,67.5,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
1304.HK,FORTIOR,2025-07-09,2025-07-24,主板,已上市/半新股,C 等待触发,59.6,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
1828.HK,富卫集团,2025-07-07,2025-08-01,主板,已上市/半新股,D 回避/仅跟踪,48.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2648.HK,安井食品,2025-07-04,2025-07-30,主板,已上市/半新股,C 等待触发,52.7,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2592.HK,拨康视云-B,2025-07-03,2025-07-02,主板,已上市/半新股,D 回避/仅跟踪,46.1,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
9678.HK,云知声,2025-06-30,2025-07-25,主板,已上市/半新股,D 回避/仅跟踪,48.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
6603.HK,IFBH,2025-06-30,2025-07-25,主板,已上市/半新股,A 高优先,88.0,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；基石阵容较多
3880.HK,泰德医药,2025-06-30,2025-06-27,主板,已上市/半新股,C 等待触发,53.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
6168.HK,周六福,2025-06-26,2025-07-23,主板,已上市/半新股,B 重点观察,69.8,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；一手中签率低；基石阵容较多
2508.HK,圣贝拉集团,2025-06-26,2025-07-23,主板,已上市/半新股,C 等待触发,59.2,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
6883.HK,颖通控股,2025-06-26,2025-07-23,主板,已上市/半新股,D 回避/仅跟踪,45.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2643.HK,曹操出行,2025-06-25,2025-07-21,主板,已上市/半新股,C 等待触发,51.8,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2619.HK,香江电器,2025-06-25,2025-06-24,主板,已上市/半新股,B 重点观察,63.1,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤
