code,temp_code,name,application_date,application_status,status_update_date,hearing_date,listing_date,first_application_date,board,sponsor,overall_coordinator,company_chinese_name,company_english_name,website,fiscal_year_end,business_scope,company_profile,industry_level_1,industry_level_2,source_table
H2300.HK,H2300.HK,海光芯正,2026-05-07,处理中,,,,2025-10-31,主板,华泰金融控股(香港)有限公司,华泰金融控股(香港)有限公司,北京海光芯正科技股份有限公司,"Crealights Technology Co., Ltd.",www.crealights.com,1231,"公司是光电互连产品提供商,提供光模块、有源光缆(‘AOC’,其将光模块及光纤缆线集成为单一组件以实现高速互连)及其他产品。","北京海光芯正科技股份有限公司,一家于2011年11月1日根据中国法律成立的有限责任公司,公司是光电互连产品提供商,提供光模块、有源光缆(‘AOC’)(其将光模块及光纤缆线集成为单一组件以实现高速互连)及其他产品。公司的光电互连产品广泛应用于AI数据中心,以支持高速、高密度及高能效的数据传输。公司凭藉建立从芯片设计到光模块制造的端到端技术能力实现差异化竞争,并专注于硅光子(‘硅光子’)技术领域。公司的光模块产品组合涵盖100G、200G、400G及800G传输速率,兼容多种行业标准外型规格。所有400G及以上规格的单模光模块均采用硅光子技术。公司的AOC及其他产品线可满足客户多样化需求,在产品组合中产生协同效应并创造交叉销售机会。根据弗若斯特沙利文的资料,按2025年收入计,公司在全球专业光模块提供商中排名第十二,2023年至2025年收入增长在前十二大供应商中排名第二,并于2025年占全球市场收入的0.8%。根据同一资料来源,公司在全球及中国专业AI光模块提供商中分别排名第八及第七,按2025年收入计,全球市场份额为1.6%。",通信设备,,上市申请一览
H2304.HK,H2304.HK,深向科技,2026-05-07,处理中,,,,2025-11-06,主板,"中银国际亚洲有限公司,交银国际证券有限公司,工银国际证券有限公司,建银国际金融有限公司","中国国际金融香港证券有限公司,招银国际融资有限公司",深向科技股份有限公司,"Deepway Technology Co., Ltd.",www.deepway.com,1231,主要从事研究、开发及销售新能源重卡及智能公路货运解决方案。,"深向科技股份有限公司成立于2020年7月31日。公司是一家技术驱动的新能源重卡及智能公路货运技术提供商,专注于以电动化与智能化技术,推动公路货运行业向零碳、高效、安全的物流跃迁。根据灼识咨询的资料,按2025年销量计,公司在中国新能源重卡市场位居第九。目前,公司的主要业务线及收入来源是销售新能源重卡,包括深向星辰及深向星途。于2023年、2024年及2025年,公司分别交付509辆、3,002辆及8,020辆新能源重卡,录得的收入分别约为人民币425.2百万元、人民币1,961.2百万元及人民币3,928.7百万元,占总收入的99.9%、99.6%及99.2%。公司亦自零部件销售录得收入,并开始按年度或终身订阅模式,将公司的两项智能公路货运技术天玑随行及天玑雁行商业化。根据灼识咨询的资料,截至2025年12月31日,公司是全球首家及唯一一家通过智能公路货运技术实现订阅收入的新能源重卡公司。根据灼识咨询的资料,截至2025年12月31日,公司是中国仅有的两家通过新能源重卡实现L4级技术商业化的公司之一。",信息科技咨询与其它服务,,上市申请一览
H2303.HK,H2303.HK,科兴生物,2026-05-06,处理中,,,,2025-11-06,主板,"中银国际亚洲有限公司,华泰金融控股(香港)有限公司,招银国际融资有限公司",中信建投(国际)融资有限公司,科兴生物制药股份有限公司,"Kexing Biopharm Co.,Ltd.",www.kexing.com,1231,重组蛋白、抗体及靶向递送疗法的研发、生产与商业化。,科兴生物制药股份有限公司的主营业务是重组蛋白、抗体及靶向递送疗法的研发、生产与商业化。公司的主要产品是人促红素注射液、注射用人干扰素α1b、人粒细胞刺激因子注射液、酪酸梭菌二联活菌散/胶囊。截止2025年12月31日，公司在国内已拥有专利72项，其中发明专利48项，外观专利21项，实用新型专利3项。,制药,,上市申请一览
H2555.HK,H2555.HK,淘车车,2026-05-06,处理中,,,,2026-05-06,主板,"中信里昂证券有限公司,花旗环球金融亚洲有限公司",花旗环球金融亚洲有限公司,Yusheng Holdings Limited,Yusheng Holdings Limited,www.taocheche.com.cn,1231,"中国领先的二手车交易平台,致力于成为行业内最值得信赖的公司。","Yusheng Holdings Limited成立于2018年4月11日。公司是中国领先的二手车交易平台,致力于成为行业内最值得信赖的公司。根据弗若斯特沙利文的资料,按2025年商品交易总额计,公司在中国二手车交易平台中排名第一,市场份额达3.8%。针对中国二手车行业市场分散、交易流程非标准化及客户服务欠佳等结构性挑战,公司开发了TCN(淘车车合作运营体系)—这是一套自有的、数据驱动的智能运营框架,可整合线上及线下体验。该闭环框架实现了流程标准化,并在整个交易过程中实现了可扩展的智能化运营,为客户获取优质二手车提供了可靠途径。",汽车零售,,上市申请一览
H2071.HK,H2071.HK,科拓股份,2026-05-05,处理中,,,,2025-04-29,主板,"中国国际金融香港证券有限公司,民银证券有限公司","中国国际金融香港证券有限公司,民银资本有限公司",厦门科拓通讯技术股份有限公司,Keytop Parking Inc.,www.keytop.com.cn,1231,智能停车场管理设备及控制系统的研发、生产、销售及相关运营服务。,"厦门科拓通讯技术股份有限公司成立于2006年6月27日。公司是智慧停车空间运营商,深度参与推动城市停车数智化转型。自2006年成立以来,公司已发展成为集数智化停车系统、数智化停车管理服务及停车场运营为一体的综合性停车产业集团,根据灼识咨询报告,按2024年的相关收益计算,公司在中国智慧停车空间运营行业亦是第二名,市场份额为3.3%。",系统软件,,上市申请一览
H2046.HK,H2046.HK,江西生物,2026-05-04,处理中,,,,2025-04-11,主板,"中国国际金融香港证券有限公司,招商证券(香港)有限公司","中国国际金融香港证券有限公司,招商证券(香港)有限公司",江西生物制品研究所股份有限公司,Jiangxi Institute Of Biological Products Inc.,www.jxswzp.cn,1231,破伤风抗毒素、强化戊二醛溶液、碘付消毒液、稳定态二氧化氯生产、销售、出口;饲养实验用动物。,"江西生物制品研究所股份有限公司成立于1985年4月1日。公司是中国及全球最大的人用TAT提供商,按2024年销量计,市场份额分别为65.8%及36.6%。于2025年,公司的人用TAT总销量为29.9百万支,其中在中国销售13.5百万支,向海外市场出口16.4百万支。根据弗若斯特沙利文4的资料,就2024年的收入而言,公司亦是中国最大的人用TAT提供商,市场份额为66.8%。根据弗若斯特沙利文的资料,公司于中国人用TAT市场一直占据主导地位,市场份额连续18年保持50%以上。于往绩记录期间,公司的人用TAT出口至亚洲及非洲的逾30个国家和地区,占中国出口量的近100%。根据弗若斯特沙利文的资料,按2024年的销量计,公司分别是菲律宾及埃及最大的人用TAT提供商,市场份额为约90%。",制药,,上市申请一览
H2288.HK,H2288.HK,千岛湖,2026-05-04,处理中,,,,2025-10-30,主板,中信建投(国际)融资有限公司,"中信建投(国际)融资有限公司,中信证券(香港)有限公司",杭州千岛湖鲟龙科技股份有限公司,"Hangzhou Qiandaohu Xunlong Sci-Tech Co.,Ltd.",www.kalugaqueen.com,1231,贵公司及其附属公司(统称‘贵集团’)主要在中国从事鲟鱼养殖及加工以及全球销售鱼子酱等其他鲟鱼制品。,"杭州千岛湖鲟龙科技股份有限公司成立于2003年04月18日。公司是全球最大的鱼子酱企业。根据灼识咨询的资料,公司自2015年以来连续11年实现鱼子酱销量全球第一名。2021年至2025年,公司的鱼子酱销量持续占据全球市场的30%以上,于2025年达致36.1%,超过全球第二大企业的四倍以上。历经20余年的行业经验和发展,公司成功构建了覆盖鲟鱼育种与养殖、鱼子酱加工、销售及品牌营销于一体的鲟鱼和鱼子酱价值链。公司创立了国际鱼子酱品牌‘KALUGA QUEEN(卡露伽)’。公司以持续的技术进步为驱动力,矢志为全球消费者提供高端鱼子酱产品。鱼子酱因极度稀缺、独特口感和深厚文化而闻名于世,被全球公认为精致食品。根据国际食品法典委员会,鱼子酱特指取自成熟雌性鲟鱼并经加工处理后以少量盐腌制保存的鱼卵。面对全球野生鲟鱼资源匮乏的挑战,公司在鲟鱼基因育种与水产养殖领域形成核心技术能力,开创国内鲟鱼养殖与鱼子酱出口先河。公司一直积极参与中国鲟鱼产业从无到有、从养殖到加工的发展,并为行业标准的制定作出贡献。",日常消费品零售,,上市申请一览
H2293.HK,H2293.HK,礼邦医药-B,2026-05-04,处理中,,,,2025-10-31,主板,"中信里昂证券有限公司,中银国际亚洲有限公司","Merrill Lynch (Asia Pacific) Limited,华泰金融控股(香港)有限公司,富瑞金融集团香港有限公司",礼邦医药(江苏)股份有限公司,Alebund Pharmaceuticals (Jiangsu) Limited,www.alebund.com,1231,专注于肾脏病领域的全球领先生物制药公司。,"礼邦医药(江苏)股份有限公司成立于2021年5月20日。公司是专注于肾脏病领域的全球领先生物制药公司,根据灼识咨询的资料,公司拥有最全面的创新肾脏病产品组合,适应症覆盖范围最广。CKD市场规模庞大,价值数千亿美元,具有巨大的增长潜力,公司已打造一个垂直一体化平台,涵盖研发、生产及商业化。公司从高磷血症领域切入,如今已拓展至整个肾脏病领域。通过提供创新肾脏病疗法,公司既助力提升当前治疗标准,也为受肾脏病影响、生活发生改变的患者解决其未被满足的医疗需求。",制药,生物科技公司(18A),上市申请一览
H2554.HK,H2554.HK,哲弗智能,2026-05-04,处理中,,,,2026-05-04,主板,利弗莫尔证券有限公司,南华融资有限公司,哲弗智能系统(上海)股份有限公司,"Zephyr Intelligent System (Shanghai) Co., Ltd.",www.zephyr88.com,,公司是中国领先的新能源电池一站式热安全解决方案提供商，专注于新能源电池热安全技术创新。,"哲弗智能系统(上海)股份有限公司成立于2015年8月10日。公司是中国领先的新能源电池一站式热安全解决方案提供商,专注于新能源电池热安全技术创新,致力于解决锂电池在各类场景中所面临的热安全挑战。公司专门研发、制造、销售新能源电池热安全产品,提供一站式四级联控闭环安全解决方案(L1至L4系统)及售后服务,涵盖从电池包级热管理到监测预警及火灾防控能力的全面电池热安全系统,具体包括主动安全(电池包级—电池智能热管理系统)、监测预警(电池包级—电池智能探测及预警系统)、被动安全(电池包级—电池智能冷却抑制系统)以及灭火(舱级全淹没灭火系统)。公司的产品广泛应用于中国及海外的电动车及电化学储能系统项目中。",电子元件,,上市申请一览
H1803.HK,H1803.HK,货拉拉-W,2026-04-30,处理中,,,,2023-03-28,主板,"工银国际证券有限公司,招银国际融资有限公司","J.P. Morgan Securities (Far East) Limited,Merrill Lynch (Asia Pacific) Limited,高盛(亚洲)有限责任公司",拉拉科技控股有限公司,Lalatech Holdings Limited,lalatech.com,1231,提供物流交易平台服务。,"拉拉科技控股有限公司于2014年10月27日根据公司法于开曼群岛注册成立为获豁免有限公司。公司是领先的科技赋能、数据驱动的物流交易平台,业务遍布全球。根据弗若斯特沙利文的资料,公司是公路货运行业数字化的先行者及主要推动力,尤其是在同城货运细分市场。公司于2013年在中国香港推出了公司的平台,以将公路货运这一主要是线下进行交易的行业数字化。于2014年,公司进军体量庞大且快速增长,并在数字化方面有巨大潜力的中国内地及东南亚的公路货运市场。自2014年起,公司进军中国内地及东南亚的其他城市。公司亦于2019年开始进军拉美等其他境外市场。",应用软件,"VIE架构公司, 不同投票权公司",上市申请一览
H2039.HK,H2039.HK,长宏新材,2026-04-30,处理中,,,,2025-03-28,创业板,建泉融资有限公司,建泉融资有限公司,长宏新材集团有限公司,Long Macro New Material Group Limited,www.chxcgroup.com,1231,"从事新型发热材料及产品的研究、开发、生产及销售,专注于石墨烯电热网格布及石墨烯集成发热产品。","长宏新材集团有限公司成立于2024年8月7日，公司主要于中国东北地区从事新型发热材料及产品的研究、开发、生产及销售,专注于石墨烯电热网格布及石墨烯集成发热产品。公司的产品组合主要包括两大类别(i)石墨烯电热网格布及(ii)石墨烯集成发热产品,两者均旨在为消费者及工业应用提供高效且均衡的加热功能。公司的销售渠道针对公司的两个业务板块量身定制。就以‘华晨’品牌销售的石墨烯电热网格布而言,公司采用直接销售的方式,将产品售予工厂及建筑公司。此板块的销售团队注重定制化服务及工业应用,与客户密切合作,确保公司的材料能顺利融入其生产流程。相反,公司以‘梵晞’、‘美世康’及‘蝶恋清枫’品牌销售的石墨烯集成发热产品,则通过中国东北地区的分销网络进行分销。该等产品的目标客户包括面向休闲消费者的零售店,以及需要为户外工作人员提供保暖保护的企业客户。这种双渠道销售策略使公司能够有效满足多元化的市场需求。凭藉全球对能源效率及生态可持续性日益提升的关注,以及公司在产品开发方面的专业知识,公司已建立制造能力。公司位于长春市的生产设施配备8条先进的自动化生产线,专门用于生产石墨烯电热网格布(公司发热产品的关键组件)。对于华晨品牌旗下的工厂直销分部而言,公司自行制造石墨烯电热网格布。对于梵晞、美世康及蝶恋清枫品牌旗下的分销分部而言,公司委聘专门进行消费品制造的分包商。该等分包商按照公司的特定设计将公司的石墨烯电热网格布集成至可供消费者使用的产品中,例如电热锋冲衣、电热睡袋及电热座垫。所有制成品在分销给客户之前,均会在公司的工厂进行检验及质量控制。这种双管齐下的方法让公司能够专注于核心竞争力,即石墨烯电热网格布的生产,同时利用分包商在消费品组装方面的专业知识,提高运营效率及可扩展性,而无需对非核心流程进行大量资本投资。",多种金属与采矿,,上市申请一览
H2042.HK,H2042.HK,新荷花,2026-04-30,处理中,,,,2025-04-03,主板,工银国际证券有限公司,"农银国际融资有限公司,广发融资(香港)有限公司",四川新荷花中药饮片股份有限公司,"Sichuan Neautus Traditional Chinese Medicine Co., Ltd",www.xinhehua.com,1231,中药饮片的研发、生产和销售。,"四川新荷花中药饮片股份有限公司成立鱼2001年12月30日，公司是中国最大的中药饮片产品供应商之一。按2024年中药饮片产品收入计算,公司在中国排名第2位,在竞争激烈的市场格局中占据0.4%的市场份额,而前五大市场参与者合共持有2.7%的市场份额。公司亦是前五大市场参与者中增长最快的,2022年至2024年的收入年复合增长率为27%。",制药,,上市申请一览
H2197.HK,H2197.HK,山推工程机械,2026-04-30,处理中,,,,2025-08-28,主板,"中信里昂证券有限公司,中泰国际证券有限公司,建银国际金融有限公司",中国国际金融香港证券有限公司,山推工程机械股份有限公司,"Shantui Construction Machinery Co.,Ltd.",www.shantui.com,1231,建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。,山推工程机械股份有限公司的主营业务是建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。公司的主要产品是推土机、挖掘机、装载机、道路机械、矿卡、混凝土机械设备及零部件。,建筑机械和重型运输设备,,上市申请一览
H2257.HK,H2257.HK,华恒生物,2026-04-30,处理中,,,,2025-09-30,主板,"中信里昂证券有限公司,兴证国际融资有限公司",华泰金融控股(香港)有限公司,安徽华恒生物科技股份有限公司,"Anhui Huaheng Biotechnology Co.,Ltd.",www.huahengbio.com,1231,生物基产品的研发、生产、销售。,安徽华恒生物科技股份有限公司的主营业务是生物基产品的研发、生产、销售。公司的主要产品是氨基酸系列产品、维生素系列产品、生物基新材料单体、其他产品。,商品化工,,上市申请一览
H2286.HK,H2286.HK,珀莱雅,2026-04-30,处理中,,,,2025-10-30,主板,"UBS AG Hong Kong Branch,中国国际金融香港证券有限公司","UBS Securities Hong Kong Limited,中国国际金融香港证券有限公司",珀莱雅化妆品股份有限公司,"Proya Cosmetics Co.,Ltd.",www.proya-group.com,1231,化妆品类产品的研发、生产和销售。,"珀莱雅化妆品股份有限公司的主营业务是化妆品类产品的研发、生产和销售。公司的主要产品是护肤类（含洁肤）、美容彩妆类、洗护类。
　　报告期内，公司携14项科研成果重磅亮相IFSCC2025国际化妆品科学大会，涵盖原料研究、皮肤/头皮检测新方法、新机制研究、理化检测方法开发、配方乳液开发研究、新材料应用研究等领域，并凭借线粒体抗衰研究，成功摘得“IFSCC2025十大基础研究奖”，成为2025年度唯一获此奖项的中国化妆品企业。在第54届欧洲皮肤研究协会（ESDR）年会上，由珀莱雅全球研发团队联合完成的3项研究成果重磅亮相，同时，还携1项基于体内外研究验证的“氧糖双抗”原料抗衰老功效成果亮相第34届欧洲皮肤病学和性病学会（EADV）年会，在皮肤性病学领域最具影响力的国际会议中展现中国美妆创新实力。报告期内，出席中华医学会第三十次皮肤性病学术年会，并发布珀莱雅第一本头皮微生态白皮书《中国人群头皮健康与头皮微生态研究报告》，梳理头皮护理领域科研标杆；参加西班牙BeautyInnovationDays、意大利CosmoProf、2025中国化妆品科学技术大会、PCT2025个人护理品技术高峰论坛等多个行业会议及论坛，并进行主题分享。",个人护理用品,,上市申请一览
H2552.HK,H2552.HK,新榜,2026-04-30,处理中,,,,2026-04-30,主板,招商证券(香港)有限公司,招商证券(香港)有限公司,上海新榜信息技术股份有限公司,"Shanghai Newrank Info And Tech Co.,Ltd.",www.newrank.cn,1231,互联网媒体内容营销。,"上海新榜信息技术股份有限公司成立于2012年2月22日。公司是中国领先的内容资产运营商。内容资产指经系统化创作及管理的数字内容(文本、图片、视频等)集合,可用于实现特定业务目标,如品牌建设、销售转化及用户增长。公司向企业客户提供AI驱动的内容营销解决方案及内容管理服务,提供内容资产创作、积累、分析、分发及优化的完整服务周期。公司的内容营销解决方案助力企业客户构建及传播内容资产、建立品牌影响力及用户连接,而公司的内容管理服务则推动内容资产的系统化沉淀、分析以及长效复用。根据弗若斯特沙利文的资料,按2025年内容营销解决方案产生的收入计,公司是中国第二大综合内容营销解决方案提供商,且于2023年至2025年在前五大提供商中增长最快。根据弗若斯特沙利文的资料,按2025年的收入计,公司亦是中国最大的内容管理服务供应商。",互动媒体与服务,,上市申请一览
H2553.HK,H2553.HK,君绮控股,2026-04-30,处理中,,,,2026-04-30,主板,,国泰君安融资有限公司,君绮控股有限公司,Junqi Holdings Limited,,1231,为持牌负责医师所运营的医美诊所提供全面的非医疗运营支持服务。,"君绮控股有限公司,一间于2025年11月7日在开曼群岛注册成立之获豁免有限公司,根据弗若斯特沙利文的资料,公司为台湾女性健康服务市场的主要参与者,公司亦矢志成为覆盖全亚洲的女性健康消费综合平台。自2011年起,公司一直以旗舰品牌‘君绮’运营,采纳品牌驱动的企业对企业对消费者(B-to-B-to-C)合作模式,公司通过该模式为持牌负责医师所运营的医美诊所提供全面的非医疗运营支持服务。于2024年,公司战略性地拓展至中医领域,进一步扩大公司于女性健康消费市场的业务布局。公司凭藉在品牌管理与会员数据管理方面的整合能力,结合人工智能驱动型数据分析技术,能够有效挖掘并最大化提升会员在多个健康养生维度的价值,涵盖但不限于医疗美容、抗衰老、皮肤及形体年轻化与中医领域。公司目前专注于台湾开展业务的同时,亦正积极探索拓展至日本市场的机会。根据弗若斯特沙利文的资料,按2025年的收入计,公司为台湾最大的医美服务品牌之一,及按2025年的收入计,公司为台湾最大的美容服务平台之一,约占该年度台湾美容服务平台行业总市场份额的12.8%。",医疗保健技术,,上市申请一览
